record_id,title,document_type,technology_domain,incident_type,severity,region,affected_system,root_cause,resolution_status,document_owner,last_updated,description,resolution_steps,lessons_learned,tags
INC-0001,"Outage on PE-Router PE-69 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Outage,S3,Western,PE-Router PE-69,Configuration Error,Resolved,IP Backbone Team,2025-07-10,A IP/MPLS outage was observed on PE-Router PE-69 in the Western region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included BFD behaviour and MPLS label anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,ip-mpls|outage|configuration
INC-0002,"Configuration Issue on Battery Bank BB-28 (Power Systems, Northern)",Incident Closure,Power Systems,Configuration Issue,S2,Northern,Battery Bank BB-28,Capacity Saturation,Resolved,Power Infrastructure Team,2025-06-12,A Power Systems configuration issue was observed on Battery Bank BB-28 in the Northern region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included rectifier output behaviour and alarm contact anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Add a pre-change checklist item for this parameter family.,power systems|configuration-issue|capacity
INC-0003,"Alarm on Rectifier P-17 (Power Systems, Eastern)",Incident Closure,Power Systems,Alarm,S3,Eastern,Rectifier P-17,Vendor Bug,Resolved,Power Infrastructure Team,2024-11-06,A Power Systems alarm was observed on Rectifier P-17 in the Eastern region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included alarm contact behaviour and AC mains anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,power systems|alarm|vendor
INC-0004,"Polling Failure on PE-Router PE-25 (IP/MPLS, Southern)",Incident Closure,IP/MPLS,Polling Failure,S1,Southern,PE-Router PE-25,Unknown,Resolved,IP Backbone Team,2026-04-17,A IP/MPLS polling failure was observed on PE-Router PE-25 in the Southern region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included VRF behaviour and LSP anomalies. The condition persisted across two polling cycles before triage began.,"Capture diagnostic bundle, escalate to L3 engineering, and monitor under controlled conditions.",Tighten the stale-record review threshold for this technology domain.,ip-mpls|polling-failure|unknown
INC-0005,"Outage on BTS B-82 (Access Network, Southern)",Incident Closure,Access Network,Outage,S2,Southern,BTS B-82,Link Failure,Resolved,Access Engineering Team,2025-02-24,A Access Network outage was observed on BTS B-82 in the Southern region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included UE attach behaviour and uplink throughput anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Tighten the stale-record review threshold for this technology domain.,access network|outage|link
INC-0006,"Connectivity Loss on PE-Router PE-1 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Connectivity Loss,S2,Western,PE-Router PE-1,Unknown,Workaround,IP Backbone Team,2026-08-26,A IP/MPLS connectivity loss was observed on PE-Router PE-1 in the Western region. Operations reported loss of reachability between segments while interfaces remain up. Key indicators included BFD behaviour and OSPF adjacency anomalies. The condition persisted across two polling cycles before triage began.,"Capture diagnostic bundle, escalate to L3 engineering, and monitor under controlled conditions.",Validate configuration changes in a test profile before production deployment.,ip-mpls|connectivity-loss|unknown
INC-0007,"Alarm on OSS Collector OC-25 (NMS/OSS, Eastern)",Incident Closure,NMS/OSS,Alarm,S2,Eastern,OSS Collector OC-25,Configuration Error,Resolved,NMS Engineering Team,2025-10-05,A NMS/OSS alarm was observed on OSS Collector OC-25 in the Eastern region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included inventory sync behaviour and northbound feed anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,nms-oss|alarm|configuration
INC-0008,"Outage on RTU R-26 (SCADA, Eastern)",Incident Closure,SCADA,Outage,S3,Eastern,RTU R-26,Link Failure,Resolved,SCADA Operations Team,2026-05-15,A SCADA outage was observed on RTU R-26 in the Eastern region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included DNP3 frame behaviour and polling interval anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Validate configuration changes in a test profile before production deployment.,scada|outage|link
INC-0009,"Polling Failure on SCADA Gateway G-51 (SCADA, Northern)",Incident Closure,SCADA,Polling Failure,S2,Northern,SCADA Gateway G-51,Hardware Failure,Resolved,SCADA Operations Team,2024-08-09,A SCADA polling failure was observed on SCADA Gateway G-51 in the Northern region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included DNP3 frame behaviour and Modbus register anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,scada|polling-failure|hardware
INC-0010,"Configuration Issue on OSS Collector OC-96 (NMS/OSS, Northern)",Incident Closure,NMS/OSS,Configuration Issue,S2,Northern,OSS Collector OC-96,Firmware Issue,Resolved,NMS Engineering Team,2024-06-05,A NMS/OSS configuration issue was observed on OSS Collector OC-96 in the Northern region. Operations reported post-change misbehaviour with operators reporting unexpected state. Key indicators included polling cycle behaviour and alarm correlation anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,nms-oss|configuration-issue|firmware
INC-0011,"Alarm on PE-Router PE-73 (IP/MPLS, Western)",Incident Closure,IP/MPLS,Alarm,S2,Western,PE-Router PE-73,Firmware Issue,Resolved,IP Backbone Team,2025-12-19,A IP/MPLS alarm was observed on PE-Router PE-73 in the Western region. Operations reported persistent critical alarm with no traffic impact yet reported. Key indicators included OSPF adjacency behaviour and LSP anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Add a pre-change checklist item for this parameter family.,ip-mpls|alarm|firmware
INC-0012,"Degradation on Microwave Hop H-61 (Microwave, Southern)",Incident Closure,Microwave,Degradation,S3,Southern,Microwave Hop H-61,Hardware Failure,Resolved,Microwave Team,2025-03-18,A Microwave degradation was observed on Microwave Hop H-61 in the Southern region. Operations reported throughput degradation with rising error counters. Key indicators included antenna alignment behaviour and ACM anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Add a pre-change checklist item for this parameter family.,microwave|degradation|hardware
INC-0013,"Synchronization Failure on NMS Node N-4 (NMS/OSS, Northern)",Incident Closure,NMS/OSS,Synchronization Failure,S3,Northern,NMS Node N-4,Firmware Issue,Workaround,NMS Engineering Team,2025-05-15,A NMS/OSS synchronization failure was observed on NMS Node N-4 in the Northern region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included trap forwarding behaviour and inventory sync anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Add a pre-change checklist item for this parameter family.,nms-oss|synchronization-failure|firmware
INC-0014,"Performance Issue on UPS U-34 (Power Systems, Northern)",Incident Closure,Power Systems,Performance Issue,S3,Northern,UPS U-34,Unknown,Resolved,Power Infrastructure Team,2026-07-04,A Power Systems performance issue was observed on UPS U-34 in the Northern region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included alarm contact behaviour and DC bus anomalies. The condition persisted across two polling cycles before triage began.,"Capture diagnostic bundle, escalate to L3 engineering, and monitor under controlled conditions.",Update the diagnostic playbook with the first-action step used here.,power systems|performance-issue|unknown
INC-0015,"Outage on OSS Collector OC-70 (NMS/OSS, Northern)",Incident Closure,NMS/OSS,Outage,S2,Northern,OSS Collector OC-70,Link Failure,Resolved,NMS Engineering Team,2024-04-10,A NMS/OSS outage was observed on OSS Collector OC-70 in the Northern region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included northbound feed behaviour and inventory sync anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Add a pre-change checklist item for this parameter family.,nms-oss|outage|link
INC-0016,"Outage on MME E-79 (Core Network, Central)",Incident Closure,Core Network,Outage,S2,Central,MME E-79,Capacity Saturation,Resolved,Core Mobility Team,2024-03-22,A Core Network outage was observed on MME E-79 in the Central region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included attach procedure behaviour and diameter session anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,core network|outage|capacity
INC-0017,"Synchronization Failure on MME E-89 (Core Network, Eastern)",Incident Closure,Core Network,Synchronization Failure,S2,Eastern,MME E-89,Hardware Failure,Archived,Core Mobility Team,2024-02-17,A Core Network synchronization failure was observed on MME E-89 in the Eastern region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included GTP tunnel behaviour and PDP context anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Add a pre-change checklist item for this parameter family.,core network|synchronization-failure|hardware
INC-0018,"Outage on Microwave Hop H-35 (Microwave, Southern)",Incident Closure,Microwave,Outage,S2,Southern,Microwave Hop H-35,Capacity Saturation,Resolved,Microwave Team,2026-01-23,A Microwave outage was observed on Microwave Hop H-35 in the Southern region. Operations reported complete service loss with all monitored interfaces unreachable. Key indicators included ATPC behaviour and antenna alignment anomalies. The condition persisted across two polling cycles before triage began.,"Shed non-critical load, re-balance traffic, and submit a capacity expansion request through change.",Tighten the stale-record review threshold for this technology domain.,microwave|outage|capacity
INC-0019,"Polling Failure on MW Radio MR-43 (Microwave, Central)",Incident Closure,Microwave,Polling Failure,S2,Central,MW Radio MR-43,Hardware Failure,Archived,Microwave Team,2024-03-09,A Microwave polling failure was observed on MW Radio MR-43 in the Central region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included ACM behaviour and ATPC anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Add a pre-change checklist item for this parameter family.,microwave|polling-failure|hardware
INC-0020,"Connectivity Loss on MSC M-59 (Core Network, Southern)",Incident Closure,Core Network,Connectivity Loss,S3,Southern,MSC M-59,Hardware Failure,Workaround,Core Mobility Team,2024-03-17,A Core Network connectivity loss was observed on MSC M-59 in the Southern region. Operations reported loss of reachability between segments while interfaces remain up. Key indicators included bearer setup behaviour and PDP context anomalies. The condition persisted across two polling cycles before triage began.,"Swap the faulty card, verify inventory, run vendor diagnostic, and confirm clean state for 15 minutes.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,core network|connectivity-loss|hardware
INC-0021,"Performance Issue on MME E-71 (Core Network, Western)",Incident Closure,Core Network,Performance Issue,S3,Western,MME E-71,Vendor Bug,Archived,Core Mobility Team,2026-09-24,A Core Network performance issue was observed on MME E-71 in the Western region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included GTP tunnel behaviour and PDP context anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,core network|performance-issue|vendor
INC-0022,"Degradation on S-GW S-75 (Core Network, Northern)",Incident Closure,Core Network,Degradation,S2,Northern,S-GW S-75,Link Failure,Resolved,Core Mobility Team,2025-07-19,A Core Network degradation was observed on S-GW S-75 in the Northern region. Operations reported throughput degradation with rising error counters. Key indicators included bearer setup behaviour and diameter session anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Record vendor case number in the closure form so future searches resolve faster.,core network|degradation|link
INC-0023,"Synchronization Failure on DWDM Node D-15 (DWDM, Western)",Incident Closure,DWDM,Synchronization Failure,S3,Western,DWDM Node D-15,Vendor Bug,Resolved,Optical Transport Team,2026-09-26,A DWDM synchronization failure was observed on DWDM Node D-15 in the Western region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included amplifier gain behaviour and ROADM port anomalies. The condition persisted across two polling cycles before triage began.,"Apply the vendor-supplied workaround, raise a TAC case, and schedule the patched release in the next change window.",Tighten the stale-record review threshold for this technology domain.,dwdm|synchronization-failure|vendor
INC-0024,"Degradation on Controller C-19 (SCADA, Eastern)",Incident Closure,SCADA,Degradation,S2,Eastern,Controller C-19,Configuration Error,Workaround,SCADA Operations Team,2025-01-05,A SCADA degradation was observed on Controller C-19 in the Eastern region. Operations reported throughput degradation with rising error counters. Key indicators included RTU heartbeat behaviour and DNP3 frame anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Update the diagnostic playbook with the first-action step used here.,scada|degradation|configuration
INC-0025,"Synchronization Failure on RTU R-2 (SCADA, Northern)",Incident Closure,SCADA,Synchronization Failure,S2,Northern,RTU R-2,Link Failure,Under Review,SCADA Operations Team,2026-11-12,A SCADA synchronization failure was observed on RTU R-2 in the Northern region. Operations reported clock drift across nodes with sync source losing lock. Key indicators included Modbus register behaviour and RTU heartbeat anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,scada|synchronization-failure|link
INC-0026,"Performance Issue on ROADM R-7 (DWDM, Western)",Incident Closure,DWDM,Performance Issue,S1,Western,ROADM R-7,Link Failure,Resolved,Optical Transport Team,2024-12-24,A DWDM performance issue was observed on ROADM R-7 in the Western region. Operations reported latency spikes and increasing queue depth under steady load. Key indicators included ROADM port behaviour and optical channel anomalies. The condition persisted across two polling cycles before triage began.,"Bring the protection path into service, dispatch field team to inspect fibre/RF, and validate end-to-end after splice/realignment.",Add a pre-change checklist item for this parameter family.,dwdm|performance-issue|link
INC-0027,"Connectivity Loss on OLT O-28 (Access Network, Western)",Incident Closure,Access Network,Connectivity Loss,S2,Western,OLT O-28,Configuration Error,Resolved,Access Engineering Team,2025-08-09,A Access Network connectivity loss was observed on OLT O-28 in the Western region. Operations reported loss of reachability between segments while interfaces remain up. Key indicators included UE attach behaviour and uplink throughput anomalies. The condition persisted across two polling cycles before triage began.,"Roll back the most recent change, re-validate the parameter set in the lab profile, then re-apply with peer review.",Validate configuration changes in a test profile before production deployment.,access network|connectivity-loss|configuration
INC-0028,"Polling Failure on OLT O-59 (Access Network, Eastern)",Incident Closure,Access Network,Polling Failure,S2,Eastern,OLT O-59,Firmware Issue,Resolved,Access Engineering Team,2026-02-22,A Access Network polling failure was observed on OLT O-59 in the Eastern region. Operations reported intermittent telemetry loss and repeated timeout alarms in the NMS. Key indicators included PRACH behaviour and PON splitter anomalies. The condition persisted across two polling cycles before triage began.,"Downgrade to the last known-good firmware, freeze further upgrades, and validate counters before reattempting.",Cross-link this record to the affected SOP to shorten retrieval during similar incidents.,access network|polling-failure|firmware
INC-0029,"Connectivity Loss on UPS U-70 (Power Systems, Southern)",Incident Closure,Power Systems,Connectivity Loss,S2,Southern,UPS U-70,Human Error,Under Review,Power Infrastructure Team,2025-09-11,A Power Systems connectivity loss was observed on UPS U-70 in the Southern region. Operations reported loss of reachability between segments while interfaces remain up. Key indicators included battery autonomy behaviour and rectifier output anomalies. The condition persisted across two polling cycles before triage began.,"Reverse the operator action, retrain on the standard operating procedure, and add a procedural guard rail.",Update the diagnostic playbook with the first-action step used here.,power systems|connectivity-loss|human
