task_id,scenario,technology_domain,incident_type,severity,region,affected_system,root_cause,ground_truth_record_id,secondary_relevant_record_ids
TASK-001,An incident ticket has been raised for a synchronization problem affecting a control-loop element. The behaviour began with a confirmed loss of one transport leg; first-line engineers want the most relevant prior record before they escalate.,SCADA,Synchronization Failure,S2,Northern,RTU R-2,Link Failure,INC-0025,SOP-0048|LL-0011|INC-0089
TASK-002,The NMS is currently flagging a synchronization problem affecting an MW radio at a relay site in the Eastern region. The behaviour began with no obvious recent change; first-line engineers want the most relevant prior record before they escalate.,Microwave,Synchronization Failure,S3,Eastern,MW Radio MR-90,Unknown,INC-0162,INC-0034|INC-0098
TASK-003,A field team has escalated a synchronization problem affecting a packet-core node (severity S2). The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,Core Network,Synchronization Failure,S2,Northern,MME E-53,Configuration Error,INC-0081,SOP-0049|INC-0017|INC-0145
TASK-004,The NMS is currently flagging loss of connectivity affecting a microwave link (severity S2). The behaviour began under sustained peak load; first-line engineers want the most relevant prior record before they escalate.,Microwave,Connectivity Loss,S2,Central,MW Link MW-33,Capacity Saturation,INC-0063,INC-0127
TASK-005,A field team has escalated a sustained critical alarm affecting the network management platform (severity S2). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,NMS/OSS,Alarm,S2,Northern,OSS Collector OC-43,Hardware Failure,INC-0071,LL-0003|INC-0007|INC-0135
TASK-006,A field team has escalated a hard service outage affecting a DWDM amplifier. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,DWDM,Outage,S2,Western,ROADM R-34,Power Issue,INC-0112,LL-0007|INC-0048|INC-0176
TASK-007,The NMS is currently flagging post-change instability affecting a DWDM amplifier (severity S3). The behaviour began under sustained peak load; first-line engineers want the most relevant prior record before they escalate.,DWDM,Configuration Issue,S3,Southern,OTN Shelf OTN-2,Capacity Saturation,INC-0041,VND-0002|VND-0006|VND-0027|VND-0034|VND-0037
TASK-008,Operations is reporting a hard service outage affecting an OLT shelf in the Southern region. The behaviour began with a confirmed loss of one transport leg; first-line engineers want the most relevant prior record before they escalate.,Access Network,Outage,S2,Southern,BTS B-82,Link Failure,INC-0005,SOP-0045|LL-0027|INC-0069
TASK-009,The NMS is currently flagging performance issues affecting an MW radio at a relay site (severity S2). The behaviour began matching a known vendor advisory profile; first-line engineers want the most relevant prior record before they escalate.,Microwave,Performance Issue,S2,Southern,Microwave Hop H-77,Vendor Bug,INC-0173,SOP-0047|LL-0025|INC-0045
TASK-010,The NMS is currently flagging intermittent polling failure affecting a radio access site. The behaviour began shortly after a firmware upgrade window; first-line engineers want the most relevant prior record before they escalate.,Access Network,Polling Failure,S2,Eastern,OLT O-59,Firmware Issue,INC-0028,INC-0092|INC-0156
TASK-011,A field team has escalated performance issues affecting an LSP-terminating element in the Eastern region (severity S1). The behaviour began with no obvious recent change; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Performance Issue,S1,Eastern,Core Router CR-86,Unknown,INC-0171,SOP-0025|LL-0012|INC-0043|INC-0107
TASK-012,An incident ticket has been raised for performance issues affecting an OLT shelf in the Western region. The behaviour began shortly after a configuration change; first-line engineers want the most relevant prior record before they escalate.,Access Network,Performance Issue,S3,Western,BTS B-57,Configuration Error,INC-0040,SOP-0024|LL-0005
TASK-013,The NMS is currently flagging service degradation affecting an LSP-terminating element. The behaviour began while a power-room alarm was active; first-line engineers want the most relevant prior record before they escalate.,IP/MPLS,Degradation,S3,Eastern,PE-Router PE-98,Power Issue,INC-0102,SOP-0041|LL-0010|INC-0038|INC-0166
TASK-014,Operations is reporting intermittent polling failure affecting an optical transport shelf. The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,DWDM,Polling Failure,S1,Northern,OTN Shelf OTN-45,Hardware Failure,INC-0117,SOP-0039|INC-0053
TASK-015,A field team has escalated intermittent polling failure affecting a microwave hop in the Southern region (severity S1). The behaviour began after a card replacement that appears unstable; first-line engineers want the most relevant prior record before they escalate.,Microwave,Polling Failure,S1,Southern,MW Link MW-5,Hardware Failure,INC-0147,SOP-0015|INC-0019
